Bank account;;;Bank account;;;Banks;;;;;Bank Branch;;;;;Key payment - receipt;;;;;;Customer;;;;;;;;Provision percentage;;
BNH;BW NAM HAI;Subsidiaries;BNH;;;;;;;;;;;;;;;;;;;C00000141;CÔNG TY TNHH HATTORI VIỆT NAM;SCC_05;SCC;BW SUPLLY CHAIN CITY;;;;;;
BDH;BW DONG HAI;Subsidiaries;BDH;;;;;;;;;;;;;;;;;;;C00000138;CÔNG TY TNHH DETMOLD PACKAGING VIỆT NAM;SCC_02;SCC;BW SUPLLY CHAIN CITY;;;;;;
BTP;BAC TIEN PHONG;Subsidiaries;BTP;;;;;;;;;;;;;;;;;;;C00000163;CÔNG TY TNHH TẦM NHÌN MỤC TIÊU VIỆT NAM;SCC_03;SCC;BW SUPLLY CHAIN CITY;;;;;;
MP3;BW MY PHUOC 3;Subsidiaries;MP3;;;;;;;;;;;;;;;;;;;C00000134;CÔNG TY TNHH BETHEL VIỆT NAM;SCC_03;SCC;BW SUPLLY CHAIN CITY;;;;;;
BBA;BW BAU BANG 01;Subsidiaries;BBA;;;;;;;;;;;;;;;;;;;C00000162;CÔNG TY TNHH TAE LIM VINA;SCC_03;SCC;BW SUPLLY CHAIN CITY;;;;;;
H4K;HOLDCO4K;Subsidiaries;H4K;;;;;;;;;;;;;;;;;;;C00000139;CÔNG TY TNHH FLINT GROUP VIỆT NAM;SCC_03;SCC;BW SUPLLY CHAIN CITY;;;;;;
H4L;HOLDCO4L;Subsidiaries;H4L;;;;;;;;;;;;;;;;;;;C00000147;CÔNG TY TNHH KOREA VANE HIGH TECH VINA ;SCC_03;SCC;BW SUPLLY CHAIN CITY;;;;;;
H4M;HOLDCO4M;Subsidiaries;H4M;;;;;;;;;;;;;;;;;;;C00000135;CÔNG TY TNHH CNTUS AEGIS VINA;SCC_03;SCC;BW SUPLLY CHAIN CITY;;;;;;
H4N;HOLDCO4N;Subsidiaries;H4N;;;;;;;;;;;;;;;;;;;C00000146;CÔNG TY TNHH KIM HOA VIỆT NAM;SCC_04;SCC;BW SUPLLY CHAIN CITY;;;;;;
H4O;HOLDCO4O;Subsidiaries;H4O;;;;;;;;;;;;;;;;;;;C00000153;CÔNG TY TNHH R-PAC VIỆT NAM;SCC_04;SCC;BW SUPLLY CHAIN CITY;;;;;;
H4P;HOLDCO4P;Subsidiaries;H4P;;;;;;;;;;;;;;;;;;;C00000154;CÔNG TY TNHH SAGASIKI VIỆT NAM;SCC_04;SCC;BW SUPLLY CHAIN CITY;;;;;;
H5K;HOLDCO5K;Subsidiaries;H5K;;;;;;;;;;;;;;;;;;;C00000145;CÔNG TY TNHH JJ FOAM & TAPE;SCC_04;SCC;BW SUPLLY CHAIN CITY;;;;;;
H5L;HOLDCO5L;Subsidiaries;H5L;;;;;;;;;;;;;;;;;;;C00000165;CÔNG TY TNHH ZERO LABEL VIỆT NAM;SCC_04;SCC;BW SUPLLY CHAIN CITY;;;;;;
H5M;HOLDCO5M;Subsidiaries;H5M;;;;;;;;;;;;;;;;;;;C00000161;CÔNG TY TNHH STOLLE CHÂU Á THÁI BÌNH DƯƠNG;SCC_04;SCC;BW SUPLLY CHAIN CITY;;;;;;
WJ1;WPJV 1;Subsidiaries;WJ1;;;;;;;;;;;;;;;;;;;C00000150;CHI NHÁNH CÔNG TY TNHH NAMYANG INNOTECH VINA;SCC_05;SCC;BW SUPLLY CHAIN CITY;;;;;;
WJ2;WPJV 2;Subsidiaries;WJ2;;;;;;;;;;;;;;;;;;;C00000157;CÔNG TY TNHH VINA SHINKWANG SEALING;SCC_05;SCC;BW SUPLLY CHAIN CITY;;;;;;
WJ3;WPJV 3;Subsidiaries;WJ3;;;;;;;;;;;;;;;;;;;C00000140;CÔNG TY TNHH GPNC-TECH VIETNAM;SCC_05;SCC;BW SUPLLY CHAIN CITY;;;;;;
T3B;THUAN THANH 3B;Subsidiaries;T3B;;;;;;;;;;;;;;;;;;;C00000151;CÔNG TY TNHH O.N VINA;SCC_05;SCC;BW SUPLLY CHAIN CITY;;;;;;
MSP;MP3 SOLAR POWER;Subsidiaries;MSP;;;;;;;;;;;;;;;;;;;C00000164;CÔNG TY TNHH YTI VINA;SCC_05;SCC;BW SUPLLY CHAIN CITY;;;;;;
TSP;TPT1 SOLAR POWER;Subsidiaries;TSP;;;;;;;;;;;;;;;;;;;C00000137;CÔNG TY TNHH DAE JUNG VINA;SCC_05;SCC;BW SUPLLY CHAIN CITY;;;;;;
